ID,Average Ground Water Flow,Design Ground Water Flow,Maximum Ground Water Flow,Average Surface Water Flow,Design Surface Water Flow,Maximum Surface Water Flow,Average Purchased Water Flow,Average Well Depth,Source Water Pumping HP,Average Ground Turbidity,Peak Ground Turbidity,Average Surface Turbidity,Peak Surface Turbidity,Total Average Daily Residuals,Population of Service Area,Size of Service Area,Length of Water Mains,High Elevation,Low Elevation,Distribution Pumping HP,Total Storage Volume,Average Distribution Pressure,Unaccounted for Treated Water,Total Building Area,Engine Driven Pump HP,Total Average Flow,Average raw turbidity,Peak raw turbidity,Difference between highest and lowest system elevation,Total system hp,Total Energy Use kBtu
id,raw_g_aflow,raw_g_dflow,raw_g_mflow,raw_s_aflow,raw_s_dflow,raw_s_mflow,raw_p_aflow,raw_g_depth,raw_hp,raw_g_antu,raw_g_pntu,raw_s_antu,raw_s_pntu,res_weight,distrib_pop,distrib_area,distrib_main,distrib_high,distrib_low,distrib_hp,distrib_storage,distrib_press,distrib_lost,floor_area,pump_eng_hp,calc_flow,calc_NTU_avg,calc_NTU_peak,calc_elev_change,calc_hp,total_energy_use_kBtu
AR003,1,2,4,0,0,0,0,500,405,0,1,0,0,0,"12,050",100,275,500,240,300,4,70,12,"10,000",0,1,0,1,260,705,"15,169,593"
AZ001,10,14,14,0,0,0,0,650,"2,115",0,0,0,0,0,"40,000",30,300,"3,300","2,400","2,703",7,55,0,"1,500",0,10,0,0,900,"4,818","120,921,002"
AZ002,1,3,3,0,0,0,0,700,300,0,0,0,0,0,"5,800",4,30,"2,400","2,300",230,1,65,0,200,0,1,0,0,100,530,"9,734,700"
CA001,0,0,0,7,15,23,0,600,450,0,0,0,0,200,"27,000",16,170,"2,300","1,500",100,9,60,14,"2,000",200,7,0,0,800,550,0
CA002,0,0,0,6,10,15,0,0,140,0,0,4,6,"2,000","40,000",13,110,740,48,"2,285",10,0,7,0,0,6,4,11,692,"2,425","45,219,558"
CA003,4,6,0,0,0,0,0,700,450,0,0,0,0,0,"11,000",2,0,0,0,315,0,45,0,0,0,4,0,0,0,765,0
CA004,0,0,0,8,12,15,0,0,"1,200",0,0,18,100,0,"24,000",7,70,0,0,"1,000",9,80,0,"5,000",0,8,18,155,0,"2,200","47,630,100"
CA005,0,0,0,8,12,17,0,0,90,0,0,5,49,0,"40,509",12,0,-35,-42,"1,200",15,60,7,0,0,8,5,70,7,"1,290",0
CA006,5,8,12,0,0,0,0,800,"1,350",0,0,0,0,0,"18,000",3,30,300,310,"1,800",2,55,0,"3,200",0,5,0,0,-10,"3,150",0
CA007,4,4,4,0,0,0,3,100,285,0,0,0,0,0,"32,000",4,88,"3,000","1,200",500,18,120,8,"10,000",0,6,0,0,"1,800",785,"65,490,000"
CA008,25,48,63,0,0,0,38,800,"3,090",0,0,0,0,0,"487,122",50,950,0,0,0,129,70,0,0,0,63,0,0,0,"3,090",0
CA009,4,7,0,0,0,0,0,"1,040","1,400",0,0,0,0,0,"30,268",8,62,566,400,0,10,70,10,0,0,4,0,0,166,"1,400",0
CA010,2,3,0,0,0,0,0,0,450,1,2,0,0,120,"14,000",1,12,0,0,95,2,58,0,0,0,2,1,2,0,545,"2,218,224"
CA011,3,4,0,0,0,0,4,"1,117",375,0,7,0,0,0,"47,087",8,92,160,90,0,8,75,2,48,785,6,0,7,70,375,"3,067,376"
CA012,1,2,2,2,5,6,0,127,120,0,0,1,40,60,"16,000",5,130,852,602,405,6,80,3,"9,000",0,4,0,50,250,525,"37,152,466"
CA013,7,14,23,0,0,0,0,300,"1,275",0,0,0,0,0,"30,626",7,150,0,0,"1,275",0,48,0,0,"2,263",7,0,0,0,"2,550","392,602"
CA014,3,4,6,0,0,0,0,"1,200",300,0,0,0,0,0,"18,500",5,48,260,60,225,2,58,9,"1,500",0,3,0,0,200,525,"15,834,305"
CA015,3,4,6,0,0,0,0,340,300,0,0,0,0,0,"14,500",44,180,580,100,"2,325",9,62,18,"4,500",0,3,0,0,480,"2,625","19,655,680"
CA016,9,11,22,0,0,0,10,580,"3,050",0,2,0,0,0,"100,000",18,350,110,32,"4,100",28,74,4,0,"2,800",18,0,2,78,"7,150","103,246,458"
CA017,3,4,4,0,0,0,4,585,350,0,0,0,0,0,"36,309",7,100,380,197,295,2,70,5,"9,500",0,7,0,0,183,645,"29,604,089"
CA018,29,58,0,0,0,0,23,"1,000","7,700",0,0,0,0,0,"316,287",133,"1,078","1,512",50,"4,800",135,60,5,0,0,51,0,0,"1,462","12,500","441,788,086"
CA019,0,0,0,6,12,12,0,0,0,0,0,5,61,274,"26,314",21,100,"1,200",840,220,17,50,10,0,0,6,5,122,360,220,"6,616,778"
CA020,0,0,0,25,50,63,3,0,"3,550",0,0,5,39,"2,110","67,125",104,400,840,350,680,31,50,10,0,0,28,5,78,490,"4,230","29,664,994"
CA021,9,14,16,0,0,0,0,871,"2,750",1,4,0,0,0,"30,000",138,238,"1,637",888,513,17,83,10,0,0,9,1,4,749,"3,263","104,270,037"
CA022,31,52,58,8,9,11,37,783,"10,000",0,0,1,2,0,"109,000",150,800,"2,850","1,305","18,000",125,90,5,0,"5,000",75,0,0,"1,545","28,000","634,877,709"
CA023,4,6,6,0,0,0,19,0,0,0,0,0,0,0,"66,000",12,250,243,124,0,0,80,3,0,0,23,0,0,119,0,"11,598,390"
CA024,6,0,0,0,0,0,11,150,0,0,0,0,0,0,"40,000",0,300,300,150,875,3,50,15,0,575,17,0,0,150,875,0
