ID,Average Ground Water Flow,Design Ground Water Flow,Maximum Ground Water Flow,Average Surface Water Flow,Design Surface Water Flow,Maximum Surface Water Flow,Average Purchased Water Flow,Average Well Depth,Source Water Pumping HP,Average Ground Turbidity,Peak Ground Turbidity,Average Surface Turbidity,Peak Surface Turbidity,Total Average Daily Residuals,Population of Service Area,Size of Service Area,Length of Water Mains,High Elevation,Low Elevation,Distribution Pumping HP,Total Storage Volume,Average Distribution Pressure,Unaccounted for Treated Water,Total Building Area,Engine Driven Pump HP,Total Average Flow,Average raw turbidity,Peak raw turbidity,Difference between highest and lowest system elevation,Total system hp,Total Energy Use kBtu
id,raw_g_aflow,raw_g_dflow,raw_g_mflow,raw_s_aflow,raw_s_dflow,raw_s_mflow,raw_p_aflow,raw_g_depth,raw_hp,raw_g_antu,raw_g_pntu,raw_s_antu,raw_s_pntu,res_weight,distrib_pop,distrib_area,distrib_main,distrib_high,distrib_low,distrib_hp,distrib_storage,distrib_press,distrib_lost,floor_area,pump_eng_hp,calc_flow,calc_NTU_avg,calc_NTU_peak,calc_elev_change,calc_hp,total_energy_use_kBtu
OH003,0,0,0,69,102,100,0,0,"1,500",0,0,20,218,"150,000",0,0,0,0,0,0,0,0,0,0,0,69,20,324,0,"1,500","285,980,988"
OH004,19,21,34,0,0,0,0,84,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"137,000",0,19,0,0,0,950,"41,965,404"
OH005,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"17,000","1,000",500,"1,000",800,"1,095",4,65,5,0,0,2,0,0,200,"1,095",0
OH006,0,0,0,1,2,3,0,0,200,0,0,30,276,"25,895","11,647",15,80,902,865,300,3,60,4,"35,000",0,1,30,502,37,500,0
OH007,0,0,0,3,4,2,0,0,300,0,0,21,44,0,"20,500",12,108,967,858,385,18,65,26,0,0,3,21,64,109,685,"29,958,845"
OH008,22,27,41,0,0,0,0,167,"1,860",4,17,0,0,0,"140,000",91,646,"1,170","1,000",300,27,70,20,"63,000",0,22,4,17,170,"2,160",0
OK001,0,0,0,98,142,220,0,0,"12,200",0,0,4,5,"82,200","400,000",900,"2,325",880,570,"1,625",102,70,9,"30,534",0,98,4,7,310,"13,825","718,866,235"
OK002,0,0,0,0,0,0,11,0,0,0,0,0,0,0,"83,000",53,460,765,490,"3,000",11,90,6,"2,500",0,11,0,0,275,"3,000",0
OK003,0,0,0,4,9,9,0,0,0,0,0,4,130,"2,780","18,000",5,150,698,610,925,4,60,3,0,0,4,4,300,88,925,"9,114,210"
OR001,5,12,14,0,0,0,0,500,"1,125",0,0,0,0,0,"23,000",300,350,"3,960","3,174",427,11,60,0,0,0,5,0,0,786,"1,552",0
OR002,0,0,0,5,10,20,0,0,300,0,0,5,165,550,"24,000",6,180,"1,560",900,"1,585",19,65,8,0,0,5,5,337,660,"1,885","42,048,110"
OR003,3,37,95,99,186,225,0,383,"6,940",0,2,1,4,0,"782,300",137,"1,957","1,270",7,"14,668",282,76,5,0,900,102,0,7,"1,263","21,608","252,717,061"
PA001,1,1,1,0,0,0,0,400,195,0,0,0,0,0,"11,200",3,44,600,240,0,3,58,8,0,0,1,0,0,360,195,"6,475,784"
PA002,0,0,0,0,0,0,0,0,300,0,0,0,0,"3,000","25,000",12,9,0,0,"1,900",8,165,3,"20,000",0,0,0,0,0,"2,200","42,317,640"
PA003,5,7,9,0,1,2,0,250,"2,750",0,5,0,40,80,"70,000",35,215,"1,440","1,200",600,15,55,11,"23,000",0,5,0,11,240,"3,350","48,261,500"
PA004,0,0,0,3,4,4,0,0,50,0,0,0,"1,447",0,"21,500",23,68,945,490,420,3,72,92,"16,000",0,3,0,"1,892",455,470,"22,610,875"
PA005,0,0,0,2,2,0,0,0,15,0,0,18,700,0,"12,000",15,45,915,605,25,"1,300,000",50,21,0,0,2,18,933,310,40,0
PA006,0,0,0,3,4,0,0,350,0,10,200,1,8,0,"33,000",150,200,"1,034",490,20,7,75,25,"17,500",0,3,1,9,544,20,"4,683,645"
PA007,0,0,0,37,50,50,0,0,"1,050",0,0,25,683,"55,000","517,014",533,"1,597","1,480",710,"2,900",60,110,33,0,0,37,25,926,770,"3,950","353,235,955"
PA008,0,0,0,42,59,60,0,0,"7,600",0,0,30,345,"55,000","517,014",533,"1,597","1,480",710,"2,900",60,110,33,0,0,42,30,485,770,"10,500","572,305,089"
PA009,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"28,000",24,160,0,0,0,5,110,10,0,0,2,0,0,0,0,0
PA010,0,0,0,7,8,12,0,0,600,0,0,4,150,"2,000","35,000",300,320,"1,700",900,500,16,100,30,"4,500",0,7,4,185,800,"1,100","132,561,173"
PA011,0,0,0,4,5,9,0,0,150,0,0,10,276,0,"28,000",30,106,"1,313",760,625,10,80,25,"16,820",0,4,10,321,553,775,"28,167,945"
PA012,0,0,0,28,35,66,0,0,"2,300",0,0,10,93,"4,203","200,000",52,685,"1,243",571,"2,025",66,74,15,"90,000",0,28,10,116,672,"4,325","260,592,551"
PA013,1,3,3,1,1,1,0,600,225,1,1,3,12,0,"16,000",100,125,"1,100",600,310,3,65,35,0,0,2,1,7,500,535,0
PA014,1,0,0,0,0,0,0,301,350,0,0,0,0,0,"9,586",50,61,650,480,200,7,50,15,"1,800",0,1,0,0,170,550,"11,597,546"
SC001,7,8,11,2,3,8,0,350,"1,100",0,0,15,45,0,"55,000",32,350,535,330,"1,900",3,85,20,0,0,8,3,18,205,"3,000",0
SD001,6,17,18,6,8,40,0,"1,500","2,330",0,0,0,0,0,"68,430",61,359,"3,994","3,406",800,20,60,11,"95,000",0,12,0,0,588,"3,130","103,684,894"
SD002,0,0,0,2,6,8,0,0,255,0,0,10,40,"11,700","13,000",8,85,0,0,750,4,55,12,0,0,2,10,96,0,"1,005",0
TN001,0,0,0,2,2,4,30,0,100,0,0,13,215,400,"21,000","1,200","1,000","1,382",800,153,5,85,15,"18,000",0,32,13,293,582,253,"16,869,242"
TX001,0,0,0,13,27,33,0,0,"2,035",0,0,12,29,0,"98,000",120,839,510,242,"3,690",17,55,8,0,0,13,12,60,268,"5,725",0
TX002,0,1,0,2,3,5,0,400,195,0,0,11,90,250,"30,000",11,95,0,0,725,2,45,10,"600,000",0,2,9,151,0,920,0
TX003,0,0,0,4,7,10,0,0,600,0,0,19,89,0,"18,500",100,26,0,0,600,5,75,12,"8,000",0,4,19,157,0,"1,200","35,270,694"
TX004,0,0,0,0,0,0,0,650,120,0,0,3,12,"10,000","21,960",17,217,"1,946","1,580",375,12,80,11,"2,500",0,0,0,0,366,495,0
TX005,7,11,17,0,0,0,0,"1,250","2,175",350,379,0,0,0,"38,285",49,275,323,85,"6,750",7,79,7,0,0,7,350,379,238,"8,925",0
TX006,0,0,0,59,99,140,0,0,"3,550",0,0,9,134,0,"358,215",99,"1,359",720,426,"12,375",42,80,0,"400,000","2,270",59,9,223,294,"15,925",0
TX007,1,1,1,6,12,12,0,400,0,0,0,3,10,0,"21,500",0,107,955,801,"2,020",11,65,10,0,0,7,3,17,154,"2,020",0
TX008,0,0,0,131,197,260,0,0,"12,600",0,0,5,63,"310,000","786,594",450,"3,036","1,120",415,0,250,72,8,"190,000",0,131,5,95,705,"12,600","1,241,400,601"
UT001,1,2,2,0,0,0,0,600,450,0,0,0,0,0,"45,000",11,159,"5,307","4,465","2,030",18,75,4,0,0,1,0,0,842,"2,480",0
UT002,5,9,12,0,0,0,0,500,"1,395",1,0,0,0,0,"32,000",12,120,"4,960","4,350",0,7,106,8,0,0,5,1,0,610,"1,395","27,280,970"
UT003,12,31,60,34,51,210,38,385,"3,805",1,2,2,10,"7,050","92,055",135,"1,376","5,780","4,218","15,575",95,110,9,0,0,84,2,11,"1,562","19,380","249,149,730"
UT004,13,42,70,64,200,200,0,442,"13,510",0,3,0,0,"4,502","505,621",186,250,"4,990","4,240","9,495",170,80,2,0,"1,300",77,0,1,750,"23,005","47,810,248"
UT005,8,35,53,14,25,25,7,792,"4,720",0,0,0,0,0,"26,990",22,375,"5,500","4,300","4,720",32,170,8,0,0,29,0,0,"1,200","9,440",0
UT006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,400",8,60,"5,000","4,700",0,5,75,2,0,0,0,0,0,300,0,0
VA001,2,2,6,43,53,94,0,150,"3,300",0,0,3,10,"10,000","405,000",450,"1,800",0,0,"5,000",25,70,5,0,700,45,3,12,0,"8,300",0
VA002,0,0,0,8,10,12,0,0,120,0,0,6,16,0,"180,000",270,"1,600",400,15,"3,840",30,60,8,"14,000",0,8,6,20,385,"3,960","52,024,246"
VA003,0,0,0,1,2,2,0,0,35,0,0,25,350,0,"14,000",60,150,925,675,200,3,70,7,"12,100",0,1,25,568,250,235,"327,402"
VA004,0,0,0,7,10,18,0,0,180,0,0,37,760,"1,500","48,411",44,320,650,390,"1,275",16,85,10,"4,120",475,7,37,"1,076",260,"1,455","29,789,115"
VA005,0,0,0,142,276,0,0,0,"14,000",0,0,40,"1,125","2,000,000","1,400,000","1,200","3,154",600,260,"3,000",65,80,10,0,0,142,40,"2,187",340,"17,000","2,220,000,000"
VA006,0,54,0,0,1,0,0,300,450,0,0,20,436,333,"35,000",12,210,440,293,370,6,55,7,"29,000",0,0,0,0,147,820,0
VT001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"8,300",9,25,0,0,0,1,95,8,0,0,1,0,0,0,0,0
VT002,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"15,600",31,105,450,120,0,3,75,5,0,0,2,0,0,330,0,0
VT003,0,0,0,2,2,6,0,0,100,0,0,2,5,150,"14,000",14,76,"1,190",580,0,3,150,30,"60,000",0,2,2,5,610,100,"8,512,812"
WA001,2,5,2,0,0,0,0,680,0,0,0,0,0,0,"18,000",11,110,420,0,0,4,60,7,0,0,2,0,0,420,0,0
WA002,4,7,10,4,9,18,0,361,430,0,0,1,1,0,"52,000",22,300,650,0,994,33,50,4,"10,775",0,8,0,2,650,"1,424","43,967,852"
WA003,10,27,29,0,0,0,0,375,"4,950",1,1,0,0,0,"80,000",495,600,0,0,700,16,55,10,"15,748",0,10,1,1,0,"5,650","134,290,353"
WA004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"70,000",18,244,640,342,0,29,491,5,0,0,0,0,0,298,0,"6,779,880"
WA005,5,13,14,0,0,0,0,337,"1,865",0,0,0,0,0,"52,000",25,267,680,30,770,22,45,13,"8,000",0,5,0,0,650,"2,635","61,834,504"
WA006,7,14,16,0,0,0,0,250,"2,327",0,2,0,0,0,"56,000",26,305,460,170,315,13,40,0,"10,000",0,7,0,2,290,"2,642","56,263,334"
WA007,2,3,6,0,0,0,0,234,700,0,0,0,0,0,"20,000",3,21,"2,708","2,350",50,6,50,1,896,0,2,0,0,358,750,"9,538,230"
WI001,0,0,0,131,216,375,0,0,"13,300",0,0,1,25,"13,543","844,433",185,"1,960",237,5,"44,230",52,73,11,0,0,131,1,41,231,"57,530","903,438,718"
WI002,0,0,0,4,6,14,0,0,"1,100",0,0,2,16,0,"18,450",4,60,161,132,260,3,55,6,0,700,4,2,24,29,"1,360","38,246,480"
WI003,2,3,5,0,0,0,0,65,598,0,0,0,0,"15,900","19,000",13,135,"1,360","1,210",875,4,70,11,"27,400",125,2,0,0,150,"1,473","24,036,976"
WY001,0,0,0,3,5,17,0,0,0,0,0,5,250,0,"22,500",0,0,"5,277","3,846",0,5,0,0,"86,637",0,3,5,463,"1,431",0,"13,070,392"
NY001,1,1,2,0,0,0,0,,,,,,,0,"1,700",2,4,,,,1,80,0,800,,1,0,0,0,0,0
NY002,1,3,0,0,0,0,0,,,,,,,0,"1,000",29,30,,,,4,0,1,"3,000",,1,0,0,0,0,0
NY003,0,1,1,0,0,0,0,,,,,,,0,845,1,11,,,,1,80,1,"2,600",,0,0,0,0,0,0
NY004,0,0,0,0,0,0,0,,,,,,,0,500,0,20,,,,1,70,0,480,,0,0,0,0,0,0
NY005,1,3,3,2,4,6,0,,,,,,,0,"6,900",7,0,,,,3,104,4,"24,017",,3,17,401,0,0,"2,256,179"
NY006,1,2,0,0,0,0,0,,,,,,,0,"2,600",0,70,,,,5,70,0,"6,000",,1,0,0,0,0,"2,894,880"
NY007,0,0,0,8,10,13,0,,,,,,,"13,000","8,500",8,108,,,,0,75,3,"16,500",,8,0,7,0,0,"286,720"
NY008,0,1,0,3,6,3,1,,,,,,,"300,000","11,000",0,175,,,,11,60,7,"40,000",,4,2,8,0,0,0
NY009,0,0,0,3,3,0,0,,,,,,,0,0,0,0,,,,0,0,0,0,,3,0,0,0,0,"2,409,211"
NY010,0,0,0,11,20,32,0,,,,,,,"2,690","23,400",36,418,,,,18,75,0,"118,617",,11,5,200,0,0,"5,864,550"
NY011,0,0,0,2,2,3,0,,,,,,,"2,000","3,200",6,50,,,,1,70,1,0,,2,4,400,0,0,"1,063,779"
NY012,0,0,0,18,0,0,0,,,,,,,0,"100,000",22,376,,,,"210,838",0,0,"20,000",,18,1,0,0,0,0
NY013,0,0,0,1,1,2,0,,,,,,,0,"2,350",0,30,,,,4,95,20,"8,820",,1,10,0,0,0,0
NY014,0,0,0,0,0,0,1,,,,,,,0,"1,036",3,20,,,,2,70,17,"1,000",,1,0,1,0,0,0
NY015,0,0,2,3,0,5,0,,,,,,,0,"8,600",0,145,,,,4,65,9,0,,3,20,300,0,0,0
NY016,3,4,0,0,0,0,0,,,,,,,0,"4,900",4,4,,,,3,0,0,"3,600",,3,0,0,0,0,"26,014,537"
NY017,0,0,0,0,0,0,0,,,,,,,0,"2,500",9,20,,,,1,80,7,"2,167",,0,0,0,0,0,0
NY018,1,0,4,0,0,3,0,,,,,,,0,"3,000",2,40,,,,2,63,12,0,,1,1,10,0,0,"3,507,200"
NY019,0,0,1,0,0,0,0,,,,,,,0,600,0,0,,,,1,0,0,0,,0,0,0,0,0,0
NY020,0,0,0,7,9,17,0,,,,,,,"6,000","65,000",18,215,,,,8,70,0,"120,000",,7,17,250,0,0,0
NY021,0,0,0,0,0,1,0,,,,,,,0,750,6,20,,,,1,70,0,600,,0,1,20,0,0,0
NY022,0,0,1,0,0,0,0,,,,,,,0,"2,000",0,10,,,,0,70,71,0,,0,0,0,0,0,0
NY023,0,0,0,1,0,20,0,,,,,,,0,850,2,10,,,,2,55,0,0,,1,1,80,0,0,"7,127,976"
NY024,0,0,0,0,0,0,0,,,,,,,0,600,2,9,,,,0,90,0,0,,0,0,0,0,0,"1,090,320"
NY025,0,0,0,0,1,2,0,,,,,,,"4,600","8,000",9,9,,,,1,40,30,"1,600",,0,2,5,0,0,"1,650,348"
NY026,0,0,0,0,0,0,0,,,,,,,0,0,2,12,,,,0,55,4,0,,0,0,0,0,0,0
NY027,0,1,1,0,0,0,0,,,,,,,0,"2,800",1,5,,,,1,40,0,0,,0,0,0,0,0,0
NY028,0,0,0,0,0,0,0,,,,,,,0,0,0,0,,,,2,60,0,0,,0,2,0,0,0,0
NY029,0,0,0,0,0,0,0,,,,,,,0,470,4,10,,,,1,80,6,300,,0,1,0,0,0,0
NY030,0,0,1,0,0,0,0,,,,,,,0,0,2,10,,,,0,70,9,400,,0,0,0,0,0,0
NY031,1,1,1,0,0,0,0,,,,,,,0,"4,000",2,12,,,,2,85,20,324,,1,0,0,0,0,0
NY032,0,0,0,1,1,3,0,,,,,,,0,"1,115",38,20,,,,2,70,13,"10,000",,1,20,250,0,0,0
NY033,0,0,0,0,0,0,0,,,,,,,0,470,1,5,,,,0,70,7,0,,0,0,0,0,0,0
NY034,0,0,0,0,0,0,0,,,,,,,0,280,0,2,,,,0,88,0,600,,0,0,0,0,0,0
NY035,0,0,1,0,0,0,0,,,,,,,0,400,1,1,,,,1,90,1,150,,0,0,0,0,0,0
NY036,0,0,0,0,0,0,2,,,,,,,0,"4,550",36,140,,,,2,100,6,0,,2,0,0,0,0,"8,083,020"
NY037,0,0,0,0,1,1,0,,,,,,,0,"3,700",0,0,,,,2,70,0,"5,000",,0,0,0,0,0,0
NY038,0,0,0,0,0,0,0,,,,,,,0,80,5,3,,,,0,0,0,4,,0,0,0,0,0,0
NY039,0,0,0,0,0,0,0,,,,,,,0,0,0,0,,,,0,65,0,0,,0,3,16,0,0,0
NY040,0,0,0,0,0,0,0,,,,,,,0,0,2,10,,,,0,50,5,0,,0,0,0,0,0,0
NY041,0,0,0,12,24,24,0,,,,,,,0,"80,000",0,600,,,,11,65,0,0,,12,3,50,0,0,0
NY042,0,1,1,0,0,0,0,,,,,,,0,0,0,0,,,,0,78,7,460,,0,0,0,0,0,0
NY043,0,0,0,0,0,0,1,,,,,,,0,"2,700",3,30,,,,2,60,15,0,,1,0,0,0,0,0
NY044,0,0,0,1,1,0,0,,,,,,,0,0,0,12,,,,2,30,0,0,,1,20,300,0,0,0
NY045,0,0,0,0,0,0,0,,,,,,,0,450,2,0,,,,0,75,0,"4,000",,0,0,0,0,0,0
NY046,0,0,0,2,2,0,0,,,,,,,0,"3,050",0,40,,,,3,100,38,0,,2,2,3,0,0,0
NY047,1,0,1,0,0,0,0,,,,,,,0,"3,000",1,9,,,,1,75,5,0,,1,0,0,0,0,"362,570"
NY048,0,0,0,1,2,2,0,,,,,,,60,"2,800",3,30,,,,3,85,7,"1,080",,1,1,1,0,0,0
NY049,0,0,0,0,0,1,0,,,,,,,0,850,0,0,,,,1,0,0,0,,0,2,55,0,0,0
NY050,0,0,0,0,0,0,0,,,,,,,200,"1,870",2,10,,,,1,80,0,"3,500",,0,2,40,0,0,0
NY051,0,0,0,0,1,0,0,,,,,,,0,"1,000",2,35,,,,0,50,25,"3,600",,0,0,0,0,0,0
NY052,0,0,0,0,0,0,1,,,,,,,0,"1,500",0,40,,,,0,65,14,0,,1,0,0,0,0,0
NY053,0,0,0,0,0,1,0,,,,,,,0,"15,004",2,2,,,,1,70,0,0,,0,1,40,0,0,0
NY054,0,0,0,1,1,1,0,,,,,,,0,900,7,25,,,,0,55,10,"5,000",,1,0,120,0,0,0
NY055,0,0,0,0,0,0,0,,,,,,,0,"1,140",0,12,,,,1,86,0,0,,0,0,0,0,0,"1,006,826"
NY056,0,0,0,0,0,1,0,,,,,,,0,"2,600",3,1,,,,1,0,0,"4,158",,0,0,0,0,0,"1,227,649"
NY057,0,0,0,55,114,140,15,,,,,,,0,"650,000","1,054","2,305",,,,149,81,10,0,,70,1,"7,150",0,0,"10,240,000"
NY058,1,1,1,0,0,0,0,,,,,,,0,769,6,11,,,,1,60,20,"2,000",,1,0,0,0,0,0
NY059,0,0,0,1,1,1,0,,,,,,,0,"1,800",0,0,,,,1,80,10,0,,1,1,1,0,0,"408,576"
NY060,0,0,0,0,0,0,1,,,,,,,0,"25,018",0,11,,,,1,70,5,0,,1,0,0,0,0,0
NY061,1,0,0,0,0,0,0,,,,,,,0,160,0,0,,,,0,0,0,144,,1,0,0,0,0,0
NY062,0,0,0,37,42,48,0,,,,,,,"1,000","219,000",0,550,,,,100,0,16,0,,37,3,20,0,0,0
NY063,0,0,0,0,1,1,0,,,,,,,0,560,7,7,,,,1,53,0,0,,0,1,5,0,0,0
NY064,0,1,1,0,0,0,0,,,,,,,0,"1,000",2,17,,,,0,60,10,"1,000",,0,0,0,0,0,0
NY065,0,0,0,3,4,4,0,,,,,,,0,"20,000",35,76,,,,18,100,0,"13,300",,3,1,7,0,0,"3,951,067"
NY066,0,0,0,0,0,0,0,,,,,,,0,500,5,20,,,,1,90,4,"1,200",,0,0,0,0,0,0
NY067,0,0,0,0,0,0,0,,,,,,,0,"4,376",0,20,,,,0,70,5,"7,500",,0,0,0,0,0,0
NY068,4,7,12,0,0,0,0,,,,,,,0,"9,500",7,130,,,,24,60,3,0,,4,0,0,0,0,0
NY069,0,0,0,5,8,10,0,,,,,,,0,"6,000",9,80,,,,12,75,0,"29,500",,5,1,4,0,0,"13,969,317"
NY070,2,4,9,0,0,0,0,,,,,,,0,"5,192",2,42,,,,1,58,10,"11,500",,2,1,1,0,0,0
NY071,0,0,0,0,0,0,0,,,,,,,0,"2,000",36,78,,,,1,0,0,0,,0,0,0,0,0,0
NY072,0,0,1,0,0,1,0,,,,,,,0,630,0,10,,,,1,80,8,"2,500",,0,0,1,0,0,0
NY073,4,6,8,0,0,0,0,,,,,,,500,"35,000",2,71,,,,5,60,0,"28,000",,4,2,0,0,0,0
NY074,0,1,1,0,0,0,0,,,,,,,0,"1,000",0,5,,,,0,100,0,240,,0,5,0,0,0,0
NY075,5,11,22,0,0,0,0,,,,,,,0,"10,714",9,13,,,,6,65,0,"12,700",,5,0,0,0,0,"3,891,200"
NY076,5,11,20,0,0,0,0,,,,,,,0,"10,522",9,131,,,,6,65,1,"10,303",,5,0,0,0,0,"5,120,000"
NY077,0,0,0,10,17,18,0,,,,,,,0,"35,000",73,197,,,,65,0,0,0,,10,1,6,0,0,0
NY078,0,0,0,0,0,0,0,,,,,,,0,"5,500",47,0,,,,0,0,0,0,,0,0,0,0,0,0
NY079,0,0,0,0,0,0,0,,,,,,,0,952,36,71,,,,0,80,0,0,,0,0,0,0,0,0
NY080,0,0,0,18,24,32,0,,,,,,,"5,600","129,000",150,720,,,,130,60,28,"18,650",,18,1,3,0,0,0
NY081,1,1,0,0,0,0,0,,,,,,,0,"2,800",4,15,,,,2,65,0,"1,500",,1,0,0,0,0,0
NY082,0,1,1,0,0,0,0,,,,,,,0,900,3,12,,,,1,65,3,160,,0,0,0,0,0,"1,193,328"
NY083,0,2,1,0,0,0,0,,,,,,,0,1,14,"1,126",,,,0,90,48,0,,0,0,0,0,0,0
NY084,0,0,0,0,0,0,2,,,,,,,0,0,0,0,,,,1,0,0,0,,2,0,0,0,0,"8,436"
NY085,0,0,0,7,10,16,0,,,,,,,0,"23,000",25,100,,,,10,60,36,"20,160",,7,4,86,0,0,"3,616,020"
NY086,0,0,0,0,0,0,0,,,,,,,0,600,3,12,,,,0,0,3,400,,0,0,0,0,0,0
NY087,0,0,0,0,0,0,0,,,,,,,0,"2,400",0,0,,,,1,0,0,320,,0,0,0,0,0,0
NY088,0,0,0,0,0,0,1,,,,,,,0,"5,000",4,0,,,,4,80,0,"750,000",,1,2,4,0,0,0
NY089,0,0,0,0,0,0,1,,,,,,,0,"1,500",4,26,,,,2,70,2,"3,000",,1,1,0,0,0,"238,772"
NY090,0,0,0,0,1,0,0,,,,,,,0,"1,400",2,30,,,,3,80,20,800,,0,0,1,0,0,0
NY091,0,0,0,0,0,0,2,,,,,,,0,0,0,75,,,,0,0,0,0,,2,0,0,0,0,0
NY092,0,0,0,18,20,24,24,,,,,,,0,"83,000","1,500","1,750",,,,150,65,12,"10,000",,42,2,30,0,0,"10,864,058"
NY093,0,0,0,0,0,0,2,,,,,,,0,"6,200",0,80,,,,4,100,8,0,,2,0,0,0,0,0
NY094,1,1,3,0,0,0,0,,,,,,,0,"8,000",4,40,,,,3,65,20,"5,429",,1,0,0,0,0,0
NY095,1,1,1,1,1,2,0,,,,,,,0,"2,391",0,35,,,,2,115,1,0,,2,1,3,0,0,"6,907,330"
NY096,0,0,0,1,2,3,0,,,,,,,0,"3,200",3,38,,,,2,52,0,"1,600",,1,1,2,0,0,0
NY097,0,1,1,0,0,0,0,,,,,,,0,"1,000",4,30,,,,2,100,0,0,,0,0,0,0,0,"6,636,035"
NY098,0,0,0,0,0,0,0,,,,,,,0,712,0,18,,,,0,75,7,"1,500",,0,0,0,0,0,0
NY099,0,0,0,0,0,0,0,,,,,,,0,0,0,0,,,,2,50,0,0,,0,0,0,0,0,0
NY100,0,0,0,0,1,1,0,,,,,,,0,"4,500",0,35,,,,1,80,6,"1,800",,0,1,2,0,0,0
NY101,1,2,2,0,0,0,0,,,,,,,0,"16,000",2,4,,,,2,70,10,"6,000",,1,0,0,0,0,0
NY102,0,0,0,2,2,3,0,,,,,,,0,"15,000",80,500,,,,6,112,14,"2,700",,2,3,200,0,0,"18,581,400"
NY103,0,0,0,6,10,17,0,,,,,,,0,"7,500",10,100,,,,10,96,5,0,,6,1,4,0,0,0
NY104,2,3,4,0,0,0,0,,,,,,,0,"14,000",0,70,,,,12,60,0,0,,2,0,0,0,0,0
NY105,65,75,0,0,0,0,0,,,,,,,0,"1,350",0,0,,,,1,70,0,0,,65,0,0,0,0,0
NY106,0,0,0,0,0,0,0,,,,,,,0,0,0,465,,,,0,70,0,144,,0,0,0,0,0,0
NY107,0,0,0,2,3,4,0,,,,,,,0,"8,000",0,55,,,,5,50,8,0,,2,1,4,0,0,0
NY108,0,0,0,1,2,2,0,,,,,,,0,"4,000",0,0,,,,1,60,16,0,,1,1,8,0,0,0
NY109,0,0,0,0,0,0,0,,,,,,,0,300,0,12,,,,0,0,0,0,,0,0,0,0,0,0
NY110,0,0,0,0,0,0,100,,,,,,,0,"1,400",5,2,,,,0,80,0,500,,100,2,5,0,0,0
NY111,0,0,0,1,1,1,0,,,,,,,0,"1,100",2,13,,,,2,55,9,"9,482",,1,2,15,0,0,"4,506,733"
NY112,0,0,0,0,0,0,0,,,,,,,0,0,0,0,,,,0,0,0,0,,0,0,0,0,0,0
NY113,0,0,0,0,0,0,0,,,,,,,0,"2,398",8,10,,,,1,0,0,300,,0,0,0,0,0,"1,743"
NY114,0,0,0,0,0,0,0,,,,,,,0,300,0,12,,,,0,0,0,0,,0,0,0,0,0,0
NY115,17,23,32,0,0,0,0,,,,,,,"4,000","13,000",0,155,,,,17,100,20,0,,17,2,10,0,0,"43,877,760"
NY116,0,0,0,1,1,1,0,,,,,,,0,"1,100",2,13,,,,2,56,9,"9,482",,1,2,15,0,0,"4,506,733"
NY117,0,0,0,6,10,17,0,,,,,,,0,"7,500",10,100,,,,10,96,5,0,,6,1,4,0,0,0
NY118,1,1,0,0,0,0,0,,,,,,,0,"3,700",1,16,,,,3,70,0,"1,200",,1,0,0,0,0,0
NY119,0,0,0,0,1,1,0,,,,,,,0,35,6,7,,,,1,0,0,"2,000",,0,5,17,0,0,0
NY120,0,2,2,4,8,9,0,,,,,,,0,"9,000",29,150,,,,5,0,15,0,,4,2,2,0,0,"27,204,391"
NY121,0,0,0,1,1,2,0,,,,,,,"1,000","1,700","2,127",20,,,,2,90,0,"6,280",,1,1,9,0,0,"6,438,293"
NY122,20,28,0,9,19,20,0,,,,,,,"1,600","69,000",150,"1,079",,,,25,125,0,0,,29,5,18,0,0,0
NY123,0,0,0,1,2,2,0,,,,,,,"2,000","1,350",1,35,,,,3,85,4,"3,000",,1,10,500,0,0,0
NY124,0,0,0,0,4,3,0,,,,,,,0,"10,000",4,30,,,,3,68,0,"23,000",,0,1,10,0,0,0
NY125,0,0,0,2,3,3,0,,,,,,,0,"3,000",0,0,,,,1,90,1,"7,000",,2,10,600,0,0,0
NY126,0,0,0,0,0,0,0,,,,,,,0,520,4,9,,,,0,70,25,50,,0,0,0,0,0,0
NY127,0,0,0,1,1,2,0,,,,,,,0,"1,080",5,20,,,,1,90,2,"10,200",,1,3,20,0,0,0
NY128,0,0,0,0,0,0,0,,,,,,,0,400,0,0,,,,1,85,0,"1,440",,0,0,10,0,0,0
NY129,0,0,0,0,0,0,0,,,,,,,0,571,0,12,,,,0,90,0,0,,0,0,0,0,0,0
NY130,1,2,4,0,0,0,2,,,,,,,0,"20,295",11,100,,,,2,60,0,0,,3,0,0,0,0,0
NY131,13,20,35,0,0,0,0,,,,,,,0,"61,821",0,220,,,,20,60,0,0,,13,0,0,0,0,0
NY132,0,0,0,0,0,1,0,,,,,,,0,"1,200",5,50,,,,1,100,0,"8,610",,0,1,1,0,0,"2,128,714"
NY133,0,0,0,0,1,2,0,,,,,,,0,"2,149",3,19,,,,1,82,13,"8,912",,0,0,4,0,0,"3,249,814"
NY134,0,1,0,0,0,0,0,,,,,,,0,580,0,16,,,,1,85,0,0,,0,0,0,0,0,0
