raw_g_aflow,raw_g_dflow,raw_g_mflow,raw_s_aflow,raw_s_dflow,raw_s_mflow,raw_p_aflow,raw_g_depth,raw_hp,raw_g_antu,raw_g_pntu,raw_s_antu,raw_s_pntu,res_weight,distrib_pop,distrib_area,distrib_main,distrib_high,distrib_low,distrib_hp,distrib_storage,distrib_press,distrib_lost,floor_area,pump_eng_hp,calc_flow,calc_NTU_avg,calc_NTU_peak,calc_elev_change,calc_hp,total_energy_use_kBtu
0,0,0,13,33,39,0,0,900,0.0,0.0,2.0,50,0,54375,60,222,705,578,665,16,75,2,0,0,13,2,124,127,1565,66285097
0,0,0,8,11,30,0,0,400,0.0,0.0,5.0,133,146,45000,20,201,620,584,200,3,52,5,0,0,8,5,188,36,600,4244596
2,8,20,0,0,0,0,300,1075,0.0,0.0,0.0,0,0,30000,40,180,1060,960,1005,3,62,0,2664,0,2,0,0,100,2080,15525584
10,14,14,0,0,0,3,450,975,1.0,1.0,0.0,0,10306,85301,33,488,990,720,2455,30,68,7,47664,70,13,1,1,270,3430,91763155
2,4,0,0,0,0,0,400,475,0.0,0.0,0.0,0,0,18500,12,100,1131,0,475,3,65,6,0,0,2,0,0,1131,950,10822500
7,19,27,0,0,0,0,482,0,0.0,0.0,0.0,0,0,55000,36,266,1050,900,2275,9,63,8,10600,0,7,0,0,150,2275,51200
29,38,42,0,0,0,0,108,2560,5.0,80.0,0.0,0,0,250000,79,722,1050,730,1035,10,85,8,20000,738,29,5,80,320,3595,340722559
3,4,8,0,0,0,0,130,330,0.0,0.0,0.0,0,8000,22400,11,87,790,650,725,7,60,14,27000,200,3,0,0,140,1055,34850792
0,0,0,0,0,0,0,1400,100,0.0,0.0,0.0,0,0,13000,0,0,0,0,125,7,60,0,0,0,0,0,0,0,225,66529826
2,5,8,11,16,16,0,1516,1450,0.0,0.0,16.0,177,820,55000,400,430,1163,887,545,6,65,12,21919,760,13,14,222,276,1995,105419634
3,6,7,28,38,39,0,1200,12550,0.0,1.0,2.0,19,2000,160000,160,1126,1400,1123,1120,13,60,12,0,3550,31,2,24,277,13670,377196182
0,0,0,11,32,63,0,0,1335,0.0,0.0,6.0,36,0,64000,22,290,3664,3294,6600,12,73,10,67000,0,11,6,102,370,7935,75104660
0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,10657,30,150,1558,1220,50,1,50,12,0,0,1,0,0,338,50,20548831
0,0,0,43,0,97,0,0,8835,0.0,0.0,30.0,462,0,280000,0,1900,1140,890,15630,55,80,10,0,4530,43,30,0,250,24465,425885968
0,0,0,3,5,7,0,0,600,0.0,0.0,4.0,13,0,12000,15,105,880,490,350,5,80,20,10980,240,3,4,20,390,950,23285669
0,0,0,2,3,3,0,0,120,0.0,0.0,53.0,1028,0,21000,125,350,1258,868,850,5,75,12,13000,0,2,53,1423,390,970,26532941
3,4,8,0,0,0,0,196,580,0.0,1.0,0.0,0,0,20552,85,172,225,180,275,4,78,19,5156,0,3,0,1,45,855,13707656
0,0,0,3,4,6,0,0,250,0.0,0.0,10.0,47,0,11138,12,120,116,30,625,3,68,6,0,180,3,10,68,86,875,2755636916
6,10,9,0,0,0,0,593,1795,0.0,0.0,0.0,0,0,103756,578,910,70,32,1925,10,70,10,18432,0,6,0,0,38,3720,81739112
0,0,0,10,14,23,0,0,600,0.0,0.0,6.0,23,2818,76000,116,550,75,10,2200,9,60,9,57000,0,10,6,33,65,2800,84227360
0,0,0,11,18,30,0,0,525,0.0,0.0,54.0,1514,155184,98000,44,413,912,892,1850,12,50,14,109870,0,11,54,2503,20,2375,2394180
28,51,75,11,21,35,0,84,5095,0.0,0.0,0.0,1,0,238750,82,1132,1440,1130,9850,105,65,4,0,3900,39,0,1,310,14945,526692380
0,0,0,2,3,5,0,0,140,0.0,0.0,0.0,0,0,17000,46,116,580,190,284,4,60,15,14497,0,2,0,0,390,424,6559628
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,1070000,435,3500,1190,903,37158,72,67,23,6000,0,0,0,0,287,37158,183701656
0,0,0,60,76,65,0,0,1320,0.0,0.0,54.0,387,0,0,0,0,0,0,0,0,0,0,0,0,60,54,490,0,1320,269557917
0,0,0,69,102,100,0,0,1500,0.0,0.0,20.0,218,150000,0,0,0,0,0,0,0,0,0,0,0,69,20,324,0,1500,285980988
19,21,34,0,0,0,0,84,950,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,137000,0,19,0,0,0,950,41965404
0,0,0,3,4,2,0,0,300,0.0,0.0,21.0,44,0,20500,12,108,967,858,385,18,65,26,0,0,3,21,64,109,685,29958845
0,0,0,98,142,220,0,0,12200,0.0,0.0,4.0,5,82200,400000,900,2325,880,570,1625,102,70,9,30534,0,98,4,7,310,13825,718866235
0,0,0,4,9,9,0,0,0,0.0,0.0,4.0,130,2780,18000,5,150,698,610,925,4,60,3,0,0,4,4,300,88,925,9114210
0,0,0,5,10,20,0,0,300,0.0,0.0,5.0,165,550,24000,6,180,1560,900,1585,19,65,8,0,0,5,5,337,660,1885,42048110
3,37,95,99,186,225,0,383,6940,0.0,2.0,1.0,4,0,782300,137,1957,1270,7,14668,282,76,5,0,900,102,0,7,1263,21608,252717061
1,1,1,0,0,0,0,400,195,0.0,0.0,0.0,0,0,11200,3,44,600,240,0,3,58,8,0,0,1,0,0,360,195,6475784
0,0,0,0,0,0,0,0,300,0.0,0.0,0.0,0,3000,25000,12,9,0,0,1900,8,165,3,20000,0,0,0,0,0,2200,42317640
5,7,9,0,1,2,0,250,2750,0.0,5.0,0.0,40,80,70000,35,215,1440,1200,600,15,55,11,23000,0,5,0,11,240,3350,48261500
0,0,0,3,4,4,0,0,50,0.0,0.0,0.0,1447,0,21500,23,68,945,490,420,3,72,92,16000,0,3,0,1892,455,470,22610875
0,0,0,3,4,0,0,350,0,10.0,200.0,1.0,8,0,33000,150,200,1034,490,20,7,75,25,17500,0,3,1,9,544,20,4683645
0,0,0,37,50,50,0,0,1050,0.0,0.0,25.0,683,55000,517014,533,1597,1480,710,2900,60,110,33,0,0,37,25,926,770,3950,353235955
0,0,0,42,59,60,0,0,7600,0.0,0.0,30.0,345,55000,517014,533,1597,1480,710,2900,60,110,33,0,0,42,30,485,770,10500,572305089
0,0,0,7,8,12,0,0,600,0.0,0.0,4.0,150,2000,35000,300,320,1700,900,500,16,100,30,4500,0,7,4,185,800,1100,132561173
0,0,0,4,5,9,0,0,150,0.0,0.0,10.0,276,0,28000,30,106,1313,760,625,10,80,25,16820,0,4,10,321,553,775,28167945
0,0,0,28,35,66,0,0,2300,0.0,0.0,10.0,93,4203,200000,52,685,1243,571,2025,66,74,15,90000,0,28,10,116,672,4325,260592551
1,0,0,0,0,0,0,301,350,0.0,0.0,0.0,0,0,9586,50,61,650,480,200,7,50,15,1800,0,1,0,0,170,550,11597546
6,17,18,6,8,40,0,1500,2330,0.0,0.0,0.0,0,0,68430,61,359,3994,3406,800,20,60,11,95000,0,12,0,0,588,3130,103684894
0,0,0,2,2,4,30,0,100,0.0,0.0,13.0,215,400,21000,1200,1000,1382,800,153,5,85,15,18000,0,32,13,293,582,253,16869242
0,0,0,4,7,10,0,0,600,0.0,0.0,19.0,89,0,18500,100,26,0,0,600,5,75,12,8000,0,4,19,157,0,1200,35270694
0,0,0,131,197,260,0,0,12600,0.0,0.0,5.0,63,310000,786594,450,3036,1120,415,0,250,72,8,190000,0,131,5,95,705,12600,1241400601
5,9,12,0,0,0,0,500,1395,1.0,0.0,0.0,0,0,32000,12,120,4960,4350,0,7,106,8,0,0,5,1,0,610,1395,27280970
12,31,60,34,51,210,38,385,3805,1.0,2.0,2.0,10,7050,92055,135,1376,5780,4218,15575,95,110,9,0,0,84,2,11,1562,19380,249149730
13,42,70,64,200,200,0,442,13510,0.0,3.0,0.0,0,4502,505621,186,250,4990,4240,9495,170,80,2,0,1300,77,0,1,750,23005,47810248
0,0,0,8,10,12,0,0,120,0.0,0.0,6.0,16,0,180000,270,1600,400,15,3840,30,60,8,14000,0,8,6,20,385,3960,52024246
0,0,0,1,2,2,0,0,35,0.0,0.0,25.0,350,0,14000,60,150,925,675,200,3,70,7,12100,0,1,25,568,250,235,327402
0,0,0,7,10,18,0,0,180,0.0,0.0,37.0,760,1500,48411,44,320,650,390,1275,16,85,10,4120,475,7,37,1076,260,1455,29789115
0,0,0,142,276,0,0,0,14000,0.0,0.0,40.0,1125,2000000,1400000,1200,3154,600,260,3000,65,80,10,0,0,142,40,2187,340,17000,2220000000
0,0,0,2,2,6,0,0,100,0.0,0.0,2.0,5,150,14000,14,76,1190,580,0,3,150,30,60000,0,2,2,5,610,100,8512812
4,7,10,4,9,18,0,361,430,0.0,0.0,1.0,1,0,52000,22,300,650,0,994,33,50,4,10775,0,8,0,2,650,1424,43967852
10,27,29,0,0,0,0,375,4950,1.0,1.0,0.0,0,0,80000,495,600,0,0,700,16,55,10,15748,0,10,1,1,0,5650,134290353
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,70000,18,244,640,342,0,29,491,5,0,0,0,0,0,298,0,6779880
5,13,14,0,0,0,0,337,1865,0.0,0.0,0.0,0,0,52000,25,267,680,30,770,22,45,13,8000,0,5,0,0,650,2635,61834504
7,14,16,0,0,0,0,250,2327,0.0,2.0,0.0,0,0,56000,26,305,460,170,315,13,40,0,10000,0,7,0,2,290,2642,56263334
2,3,6,0,0,0,0,234,700,0.0,0.0,0.0,0,0,20000,3,21,2708,2350,50,6,50,1,896,0,2,0,0,358,750,9538230
0,0,0,131,216,375,0,0,13300,0.0,0.0,1.0,25,13543,844433,185,1960,237,5,44230,52,73,11,0,0,131,1,41,231,57530,903438718
0,0,0,4,6,14,0,0,1100,0.0,0.0,2.0,16,0,18450,4,60,161,132,260,3,55,6,0,700,4,2,24,29,1360,38246480
2,3,5,0,0,0,0,65,598,0.0,0.0,0.0,0,15900,19000,13,135,1360,1210,875,4,70,11,27400,125,2,0,0,150,1473,24036976
0,0,0,3,5,17,0,0,0,0.0,0.0,5.0,250,0,22500,0,0,5277,3846,0,5,0,0,86637,0,3,5,463,1431,0,13070392
1,3,3,2,4,6,0,0,0,0.0,0.0,0.0,0,0,6900,7,0,0,0,0,3,104,4,24017,0,3,17,401,0,0,2256179
1,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,2600,0,70,0,0,0,5,70,0,6000,0,1,0,0,0,0,2894880
0,0,0,8,10,13,0,0,0,0.0,0.0,0.0,0,13000,8500,8,108,0,0,0,0,75,3,16500,0,8,0,7,0,0,286720
0,0,0,3,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2409211
0,0,0,11,20,32,0,0,0,0.0,0.0,0.0,0,2690,23400,36,418,0,0,0,18,75,0,118617,0,11,5,200,0,0,5864550
0,0,0,2,2,3,0,0,0,0.0,0.0,0.0,0,2000,3200,6,50,0,0,0,1,70,1,0,0,2,4,400,0,0,1063779
3,4,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,4900,4,4,0,0,0,3,0,0,3600,0,3,0,0,0,0,26014537
1,0,4,0,0,3,0,0,0,0.0,0.0,0.0,0,0,3000,2,40,0,0,0,2,63,12,0,0,1,1,10,0,0,3507200
0,0,0,1,0,20,0,0,0,0.0,0.0,0.0,0,0,850,2,10,0,0,0,2,55,0,0,0,1,1,80,0,0,7127976
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,600,2,9,0,0,0,0,90,0,0,0,0,0,0,0,0,1090320
0,0,0,0,1,2,0,0,0,0.0,0.0,0.0,0,4600,8000,9,9,0,0,0,1,40,30,1600,0,0,2,5,0,0,1650348
0,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0,0,4550,36,140,0,0,0,2,100,6,0,0,2,0,0,0,0,8083020
