ID,Number of Grounds Water Sources,Average Ground Water Flow,Design Ground Water Flow,Maximum Ground Water Flow,Number of Surfaces Water Sources,Average Surface Water Flow,Design Surface Water Flow,Maximum Surface Water Flow,Number of Purchased Sources,Average Purchased Water Flow,Average Well Depth,Source Water Pumping HP,Total Number of Pumps,Average Ground Turbidity,Peak Ground Turbidity,Average Surface Turbidity,Peak Surface Turbidity,Algae Control,Disinfection,Oxidation,Iron Removal,Manganese Removal,Taste/Odor Control,TOC Removal,Particulate/Turbidity Removal,Softening,Recarbonation,Organic,Inorganic,Radionuclide,Aeration,Ultraviolet,Ozone,Upflow Clarification,Gravity Clarification,Dissolved Air Floatation Clarification,Flocculation,Direct Filtration,Slow Sand Filtration,Dual Stage Filtration,Rapid Rate Filtration,Diatomaceous earth Filtration,Pressure Filtration,Reverse Osmosis Membrane,Microfiltration Membrane,Ultrafiltration Membrane,Nanofiltration Membrane,Number of Treatment Plants,No Treatment,Gravity Thickening,Mechanical Dewatering,Centrifuge,Residual Pressure Filtration,Vacuum Filtration,Belt Press,Plate & Frame Press,Non-Mechanical Dewatering,Lagoon dewatering thickening,Sand Drying Bed,Freezing and Thawing,Total Average Daily Residuals,Population of Service Area,Size of Service Area,Length of Water Mains,High Elevation,Low Elevation,Distribution Pumping HP,Number of Distribution Pumps,Total Storage Volume,Average Distribution Pressure,Number of Distribution Zones,Unaccounted for Treated Water,Production Energy Use,Production Energy Peak,Poduction Cost,Treatment Energy Use,Treatment Energy Peak,Treatment Energy Cost,Distribution Energy Use,Distribution Energy Peak,Distribution Energy Cost,Total Energy Use,Total Energy Peak,Total Energy Cost,Total Building Area,Natural Gas Use,Natural Gas Cost,Engine Driven Pumps,Engine Driven Pump HP,Engine Driven Pump Fuel Type,Purchased Energy,Purchased Energy Source,Amount of Purchased Energy,Purcahsed Energy Cost,Regularly Checked Utility Bills,Extraordinary Events,Additional Comments,Total Average Flow,Average raw turbidity,Peak raw turbidity,Treatment for metals (iron mang),Treatment for contaminates (organic inorganic radon),Difference between highest and lowest system elevation,Total system hp
id,raw_g_num,raw_g_aflow,raw_g_dflow,raw_g_mflow,raw_s_num,raw_s_aflow,raw_s_dflow,raw_s_mflow,raw_p_num,raw_p_aflow,raw_g_depth,raw_hp,raw_npump,raw_g_antu,raw_g_pntu,raw_s_antu,raw_s_pntu,treat_algae,treat_disinf,treat_ox,treat_iron,treat_mang,treat_odor,treat_TOC,treat_turb,treat_soft,treat_recarb,treat_organic,treat_inorganic,treat_radon,process_aerate,process_UV,process_OZ,process_clar_up,process_clar_gravity,process_clar_daf,process_floc,process_filtr_direct,process_filtr_sand,process_filtr_dual,process_filtr_rapid,process_filtr_dearth,process_filtr_press,process_mem_rosmos,process_mem_micfiltr,process_mem_ultfiltr,process_mem_nanofiltr,utility_nplants,res_none,res_gravity,res_dewat_mech,res_cent,res_press_filtr,res_vac_filtr,res_bpress,res_ppress,res_dewat_nmech,res_lagoon,res_sand,res_frz,res_weight,distrib_pop,distrib_area,distrib_main,distrib_high,distrib_low,distrib_hp,distrib_npump,distrib_storage,distrib_press,distrib_nzones,distrib_lost,raw_kwh,raw_kw,raw_cost,treat_kwh,treat_kw,treat_cost,distrib_kwh,distrib_kw,distrib_cost,utility_kwh,utility_kw,utility_cost,floor_area,ngas_use,ngas_cost,pump_eng,pump_eng_hp,pump_eng_fuel,oenergy_purch,oenergy_type,oenergy_amount,oenergy_cost,check_util,extra_event,notes,calc_flow,calc_NTU_avg,calc_NTU_peak,calc_metals,calc_contam,calc_elev_change,calc_hp
IA005,4,1.6,3.8,4.5,0,0,0,0,0,0,4550,0,4,0.5,0.6,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14000,0,60,0,0,150,7,3.2,65,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,1.6,0.5,0.6,1,1,0,150
IA006,22,5.35,7.9,12,0,0,0,0,1,1.56,2500,1045,22,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,27500,53000,50,194.35,1052.84,811.84,2050,15,7.25,73,3,8.04,0,0,0,0,0,0,0,0,0,6598510,1482,364080,42639,13134,11364,0,0,,1,Diesel,0 Gallons,0,0,1,Cool wet rainy year  Water production was down,6.91,0,0,1,1,241,3095
IA007,19,5.81,7.51,10.5,0,0,0,0,0,0,110,745,19,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,36000,53000,24.1,220,230,50,16000,8,11,75,2,4.5,1700740,51.1,108760,656040,181,38450,2258320,436,123870,4615100,0,271080,19160,21960,20000,1,330,Diesel,0,,,0,0,0,,5.81,0,0,1,0,180,16745
IA008,0,0,0,0,15,13.5,28,36,0,0,239.5,1500,15,0.15,1.2,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,85000,57.6,393.2,1509,1102,1000,11,28,80,5,1,0,0,0,996830,1920,38789,0,0,13281,996830,0,52070,0,180021,14441,0,0,,1,Diesel Fuel,300 Gallons,558,1,0,,13.5,0,0,1,0,407,2500
ID001,16,0.45,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4800,12,250,2721,2560,2400,16,2.25,68,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,1,0,,0.45,0,0,0,0,161,2400
IL001,5,0,17,12,0,0,0,0,0,4.3,900,2500,5,0,0,0.11,0.18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,8,325,761,666,440,15,8.8,50,1,0.1,0,0,0,0,0,0,0,0,0,605078,1581,56498,2800,4116,2546,1,0,Diesel,0,,,0,0,0,,4.3,0,0,0,0,95,2940
IL002,0,0,0,0,2,568,728,1457.53,0,0,0,11000,8,0,0,5.4,31.5,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,36680,2896000,225,4240,675,590,22764,21,60,35,11,10.34,39105499,5973,1910868,0,0,0,118147638,6358,6763765,157253137,0,8674633,4000000,21035803,1044089,0,0,,1,Fuel Oil,146398 gallons,169391,1,0,,568,5.4,40.4,0,1,85,33764
IL003,0,0,0,0,2,338.6,458.2,720,0,0,0,6400,9,0,0,4.4,40.7,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,29200,2896000,225,4240,675,590,22764,21,60,35,11,10.34,23310611,3705,1159327,0,0,0,118147638,6358,6763765,141458249,0,7923092,4000000,21035803,1044089,0,0,,1,Fuel Oil,146398 gallons,169391,1,0,,338.6,4.4,55.1,0,1,85,29164
IL004,0,0,0,0,0,0,0,0,1,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42000,10,170,0,0,685,14,6.2,40,2,5,0,0,0,0,0,0,0,0,116029,0,0,116029,0,0,0,0,0,,0,,,0,0,1,Low water demand due to cool rainy summer,4.3,0,0,0,0,0,685
IL005,19,10.8,17.4,23,1,8.2,11.6,27.5,0,0,1350,5350,25,1.4,3.5,20.4,149,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,70000,170000,50,600,890,810,5150,9,25.26,65,2,22,15149532,0,915032,0,0,0,5570400,0,336452,20719932,0,1317080,134000,0,30000,0,0,,0,,,0,0,0,,19,9.6,93,1,1,80,10500
IL006,4,6,11,11,0,0,0,0,0,0,110,2000,5,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,43500,100,210,764,760,1100,4,11,55,1,17,1942456,770,112008,1452024,0,93967,5907,0,1168,3400387,0,207143,200,4120,4165,1,250,Natural Gas,1,Diesel,2000 Gallons,0,1,1,Drought,6,0,0,1,0,4,3100
IL007,0,0,0,0,1,11,27,21,0,0,0,500,4,0,0,4.42,77,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,30000,15.04,175,692.84,590,2850,6,9,60,1,8,0,0,0,0,0,0,0,0,0,6134646,0,387089,149200,54624,39796,0,0,,0,,,0,1,0,,11,4.42,189,0,0,102.84,3350
IL008,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184600,7,80,160,0,625,6,7.8,65,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Natural Gas,0,,,0,0,0,,0,0,0,0,0,160,625
IL009,6,2.81,4.29,4.7,0,0,0,0,0,0,160,240,6,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22261,20,4.5,0,0,640,4,3,65,2,12,0,0,0,0,0,0,0,0,0,0,0,145406,6240,0,19268,0,0,,0,,,0,1,0,,2.81,0,0,1,1,0,880
IL010,0,0,0,0,0,0,0,0,1,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35000,26.5,200,594,548,350,2,3,60,1,8,0,0,0,0,0,0,293760,0,11501,293760,0,11501,1200,0,0,0,0,,0,,,0,0,0,,3.81,0,0,0,0,46,350
IL011,0,0,0,0,1,22,39.8,42,0,0,0,725,4,0,0,8,100,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,100000,151000,100,600,605,560,640,5,10,60,1,15,9400400,0,1003341,0,0,0,0,0,0,9400400,0,1003341,50000,0,0,0,0,,0,,,0,0,0,,22,8,180.9,0,1,45,1365
IL012,3,0.5,1,0.7,0,0,0,0,0,2.16,1500,250,3,0,0,1,1.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,29.3,170,650,600,250,3,4.25,55,2,3,300000,150,15000,0,0,0,100000,50,5000,400000,200,20000,728,0,0,0,0,,0,,,0,1,0,,2.66,0,0,0,0,50,500
IN001,70,45,69,0,3,97,142,0,2,1.5,144,5715,91,1,1,12,220,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,8,0,1,1,0,0,0,0,1,0,0,0,0,28000,1100000,675,4200,940,653,0,122,78,60,20,3.1,0,0,0,0,0,0,0,0,0,82328693,162272,4230562,414000,193336,178183,1,12417,Natural gas Diesel,0,,,0,1,0,,143.5,8.514084507,220.3,1,0,287,5715
KS001,0,0,0,0,10,2.19,3.51,7,0,0,40,190,10,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,13000,8.81,90,1180,1070,865,12,4.05,58,3,14,381440,0,23764,888000,0,64669,0,0,0,1269440,0,88433,18750,0,3883,0,0,,0,,,0,0,0,,2.19,0,0,0,0,110,1055
KS002,0,0,0,0,10,4.34,6.65,12,0,0,70,825,12,1.4,8.6,210.4,5524,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,2930,40000,25,180,1100,770,1375,9,5,90,2,8,412399,0,82067,278976,0,55516,521564,6582,103791,1212939,6582,241375,37250,0,15163,0,0,,0,,,0,1,0,,4.34,210.4,8464.2,1,0,330,2200
LA001,4,1.8,3,4,0,0,0,0,0,0,200,285,4,0.2,0.3,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,3600,1,0,0,0,0,160,2,1.5,62,0,15,0,0,0,0,0,0,0,0,0,1615200,156000,115440,250000,101,527,0,0,,1,,,0,1,1,,1.8,0.2,0.3,1,0,0,445
LA002,0,0,0,0,2,3,4.1,7,0,0,0,210,4,0,0,45.7,170,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,23800,367,500,150,4,250,2,3.7,66,1,20,0,0,0,0,0,0,0,0,0,0,0,210071,0,0,1151,0,0,,0,,,0,1,0,,3,45.7,232.3,0,1,146,460
LA003,60,50.3,66.7,102.1,0,0,0,0,0,0,1800,9500,60,0.3,0.58,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,386460,150.6,1490.62,62,25,1055,17,10.75,65,1,7.35,31561400,8359,2402937,0,0,0,240940,122,28335,31802340,0,2431272,20800,28976,24435,1,5375,Diesel,0,,,0,1,0,,50.3,0.3,0.6,0,0,37,10555
LA004,3,0,2.5,0,0,0,0,0,0,0,600,100,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11000,69,69,0,0,0,0,0.5,60,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,1,0,,0,0,0,1,0,0,100
LA005,2,1.95,2.75,4,0,0,0,0,0,0,130,300,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,17.22,162.77,150,85,75,4,1.1,76,0,16.5,0,0,0,0,0,0,0,0,0,1363700,121200,124377,0,0,0,0,0,,0,,,0,1,0,,1.95,0,0,0,0,65,375
LA006,10,2.1,4.3,0,0,0,0,0,0,0,330,630,10,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13500,26,120,400,220,665,12,1.6,45,3,0,0,0,0,0,0,0,0,0,0,2150833,0,0,0,0,0,0,0,,0,,,0,1,0,,2.1,0,0,1,0,180,1295
LA007,8,1.2,2,1.5,0,0,0,0,0,0,2000,555,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,11000,60,260,150,70,40,7,0.71,60,15,11,1204524,0,81000,0,0,0,81600,0,3000,1286124,0,84000,0,0,0,0,0,,0,,,0,1,0,,1.2,0,0,0,0,80,595
MA001,0,0,0,0,0,0,0,0,0,0,130,190,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33500,21,74,59,3,0,0,2,55,1,1.5,558730,89,69946,0,0,0,0,0,0,0,0,0,3700,0,0,0,0,,0,,,0,1,0,,0,0,0,0,0,56,190
MD001,4,0.5,1,0,1,2.2,3,3,0,0,200,180,7,0.08,0.1,0.9,4,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,5,0,0,0,0,1,0,0,1,0,1,0,0,5338,30000,29.55,119,792,360,800,4,3.5,55,4,12,81865,11833,7714,2404200,245900,138685,133582,17320,11517,2619647,275053,157917,250,1228,0,0,0,,0,,,0,1,0,,2.7,0.748148148,4.5,1,0,432,980
MD002,24,4.73,12.4,18,0,0,0,0,0,0,375,60,24,4.65,12.1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,30000,3,125,7,-3,500,4,6.3,44,0,27,152979,273,10222,316413,675,18465,6963,37,810,476355,985,29497,0,0,0,0,0,,1,Propane,588235 cu/ft,25000,1,0,,4.73,4.65,12.1,1,0,10,560
MI001,22,10.28,0,40,0,0,0,0,0,0,140,505,22,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,55000,50,350,1000,800,2625,15,14.3,70,3,18,0,0,0,0,0,0,0,0,0,8499200,1736,491000,0,0,34637,1,0,Diesel,0,,,0,1,0,,10.28,0,0,1,1,200,3130
MI002,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15531,2.5,53,0,0,0,0,0,46,1,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,1.44,0,0,0,0,0,0
MI003,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45000,8,228,733,599,503,8,12,65,4,0.02,0,0,0,0,0,0,0,0,52000,0,0,52000,2000,0,0,1,73,natural gas,0,,,0,1,0,,5,0,0,0,0,134,503
MI004,0,0,0,0,1,13.2,32.6,38.5,0,0,0,900,5,0,0,2.05,50,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,54375,60,221.5,705,578,665,8,16,75,2,2.48,0,0,0,5058319,2154,267387,569109,74146,49744,5627428,0,317131,0,37311,29070,1,0,Natural Gas,0,,,0,1,0,,13.2,2.05,123.5,0,0,127,1565
MI005,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,32,240,0,0,0,0,5.7,60,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,Oil for back up generator,,0,1,1,,5,0,0,0,0,0,0
MI006,0,0,0,0,1,8,11.3,30,0,0,0,400,3,0,0,5.28,133,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,146,45000,20,201,620,584,200,1,2.5,52,0,4.5,0,0,0,273376,681,195893,109020,0,9193,2882396,681,205087,0,0,43311,0,0,,0,,,0,1,0,,8,5.28,187.9,0,0,36,600
MI007,15,2,8,19.8,0,0,0,0,0,0,300,1075,15,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30000,40,180,1060,960,1005,13,2.6,62,2,0,0,0,0,0,0,0,1139906,192500,69534,1139906,0,69534,2664,28053,20782,0,0,,0,,,0,1,0,,2,0,0,0,0,100,2080
MN001,6,9.9,14.2,14,0,0,0,0,1,2.7,450,975,6,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,10306,85301,33,488,990,720,2455,13,30,68,2,6.5,3437660,384069,167954,971242,88675,35522,3194091,405647,198813,7602993,0,402288,47664,71972,54366,1,70,Natural Gas,0,,,0,1,0,,12.6,1,1,0,0,270,3430
MN002,4,2.1,4.44,0,0,0,0,0,0,0,400,475,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18500,12,100,1131,0,475,4,3,65,1,6,975000,0,64422,0,0,0,0,0,0,975000,0,64422,0,0,0,0,0,,0,,,0,1,0,,2.1,0,0,0,0,1131,950
MN003,15,6.78,18.56,26.85,0,0,0,0,0,0,482,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55000,36,266,1050,900,2275,14,8.5,63,1,8.3,0,0,0,0,0,0,0,0,0,4500000,80000,300000,10600,500,500,0,0,,0,,,0,1,0,,6.78,0,0,0,0,150,2275
MO001,3,0.19,2.88,2.88,13,5.6,7.5,7.5,0,0,120,435,11,0,0,70,850,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,36000,50,245,200,20,300,7,6,45,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,5.79,67.7029361,1101,1,0,180,735
MO002,38,29,38,42,0,0,0,0,0,0,108,2560,40,5.19,80.3,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,250000,79,722,1050,730,1035,11,10,85,2,8,3885039,420,202081,1173320,0,46440,25637367,4623,1014371,30695726,5043,1262892,20000,0,20227,1,738,Natural gas,0,,,0,1,0,The service population above included 125000 wholesale customers,29,5.19,80.3,1,0,320,3595
MO003,10,2.65,4.07,8,0,0,0,0,0,0,130,330,10,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8000,22400,11,87,790,650,725,6,6.8,60,1,14,2456575,583.1,144594,0,0,0,683136,197.8,51075,3139711,0,195669,27000,0,0,1,200,Diesel,0,,,0,1,0,,2.65,0,0,1,0,140,1055
MO004,15,0,0,0,0,0,0,0,0,0,1400,100,15,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13000,0,0,0,0,125,4,6.5,60,2,0,3929394,816,150271,617200,144,22231,1447084,533,63329,5993678,0,235831,0,0,0,0,0,,0,,,0,1,0,,0,0,0,1,0,0,225
MO005,8,1.87,5.37,7.64,1,10.67,15.75,16,0,0,1516,1450,4,0,0,16.03,177,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,820,55000,400,430,1163,887,545,9,5.5,65,3,12,7569260,1945,418617,169599,0,9386,1622478,496,88634,9361337,2442,516627,21919,14693,16968,1,760,Natural Gas,1,Diesel,30 Gallons,58,0,1,,12.54,13.6395614,222.3,0,0,276,1995
MO006,2,0.75,1,7,1,2.5,5,3.5,0,0,0,0,6,0,0,25,500,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,10505,5,0,0,0,725,8,2,60,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,352,Natural Gas Gasoline,0,,,0,0,1,,3.25,19.23076923,769.2,0,1,0,725
MO007,5,2.86,5.7,7.1,5,28.38,38.36,39.4,0,0,1200,12550,15,0.17,0.97,2.48,19.1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2000,160000,160,1126,1400,1123,1120,12,13.25,60,3,11.87,12155143,6626,740420,21274887,4358,920909,551608,590,61114,33981638,11574,1722444,0,0,0,1,3550,Disel,0,,,0,1,0,,31.24,2.268521127,23.5,0,0,277,13670
MO008,8,3.8,6,6,0,0,0,0,1,3.5,80,480,0,0.1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8179,51381,22,210,730,443,1300,11,3,55,1,5,0,0,0,0,0,0,0,0,0,0,0,250000,0,0,1372,0,0,,0,,,0,0,0,,7.3,0.1,1,1,0,287,1780
MT001,0,0,0,0,1,11.23,31.66,62.5,0,0,0,1335,8,0,0,5.8,36.2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,64000,21.5,290,3664,3294,6600,17,12.25,73,4,10,0,0,0,5132500,1613,330700,1097700,566,82150,6230200,0,412850,67000,58100,39100,0,0,,0,,,0,1,0,,11.23,5.8,102.1,0,0,370,7935
NC001,0,0,0,0,1,7.4,11.5,18,0,0,0,900,4,0,0,7.53,533,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2859,38000,20,300,1500,1000,220,6,8.6,70,5,5,0,0,0,0,603000,0,0,0,0,0,0,0,6500,0,0,0,0,,0,,,0,0,0,,7.4,7.53,828.3,0,1,500,1120
NC002,0,0,0,0,0,4.43,5.1,6,0,0,0,600,3,0,0,31.05,32,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,25000,0,225,1070,750,200,3,11.5,68,2,20,0,0,0,0,0,120000,0,0,20000,0,0,140000,4000,0,120000,0,0,,0,,,0,1,0,,4.43,31.05,36.8,1,1,320,800
NC003,0,0,0,0,0,4.7,6.8,8,0,0,0,900,3,0,0,39,440,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,14400,90,65,1259,720,950,4,6.15,60,2,10,0,0,0,0,0,0,0,0,0,2273880,544.56,79586,22890,0,0,0,0,,0,,,0,1,0,,4.7,39,636.6,0,1,539,1850
